epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1113.69,0.98938,0.65293,1.05726,0.83304,0.87626,0.89665,0.61176,1.21608,0.78168,1.22462,0.000178782,0.000178782,0.000178782
43,1140.2,0.99065,0.61925,1.06043,0.75617,0.8162,0.80848,0.55738,1.16519,0.91249,1.18444,0.000174612,0.000174612,0.000174612
44,1166.13,0.98148,0.6514,1.05857,0.76908,0.83162,0.85381,0.59252,1.17404,0.9031,1.18799,0.000170409,0.000170409,0.000170409
45,1192.5,0.98533,0.60404,1.05648,0.73445,0.79574,0.78523,0.54366,1.20853,0.95126,1.19515,0.000166176,0.000166176,0.000166176
46,1218.32,0.97921,0.60519,1.05957,0.89436,0.91093,0.92613,0.63634,1.1815,0.63953,1.19375,0.000161917,0.000161917,0.000161917
47,1244.37,0.97041,0.603,1.0586,0.86147,0.87452,0.8948,0.61966,1.14833,0.78859,1.17868,0.000157637,0.000157637,0.000157637
48,1270.22,0.95568,0.58489,1.043,0.78148,0.81068,0.82882,0.58018,1.15599,0.97419,1.17739,0.00015334,0.00015334,0.00015334
49,1295.93,0.96434,0.57843,1.04649,0.88976,0.89263,0.91065,0.63045,1.14894,0.71227,1.18077,0.000149031,0.000149031,0.000149031
50,1321.52,0.98862,0.58129,1.05338,0.87734,0.89529,0.91188,0.64129,1.13228,0.70475,1.17377,0.000144712,0.000144712,0.000144712
51,1347.84,0.95523,0.57027,1.0399,0.84711,0.86025,0.87653,0.6112,1.15757,0.78976,1.18534,0.00014039,0.00014039,0.00014039
52,1374.15,0.93188,0.56188,1.04025,0.87882,0.90314,0.90556,0.63207,1.15018,0.7363,1.17949,0.000136068,0.000136068,0.000136068
53,1400.8,0.94638,0.60346,1.04509,0.85901,0.85043,0.88797,0.62281,1.1429,0.79574,1.18234,0.000131749,0.000131749,0.000131749
54,1427.03,0.93401,0.53864,1.02865,0.83597,0.85232,0.87012,0.61578,1.14507,0.81281,1.18403,0.00012744,0.00012744,0.00012744
55,1453.19,0.96958,0.55039,1.04246,0.91068,0.9169,0.93156,0.65652,1.12447,0.61367,1.17396,0.000123143,0.000123143,0.000123143
56,1481.42,0.92266,0.53434,1.03119,0.85021,0.86404,0.8835,0.61548,1.15443,0.84644,1.18401,0.000118863,0.000118863,0.000118863
57,1507.48,0.9155,0.53991,1.02998,0.89644,0.90093,0.92687,0.65644,1.1314,0.68217,1.17457,0.000114604,0.000114604,0.000114604
58,1533.14,0.93339,0.54452,1.03342,0.90474,0.91727,0.92944,0.6585,1.13908,0.62929,1.16493,0.000110371,0.000110371,0.000110371
59,1558.76,0.90342,0.51709,1.01723,0.87284,0.89419,0.91408,0.64852,1.13279,0.77618,1.17503,0.000106168,0.000106168,0.000106168
60,1584.38,0.86838,0.48525,1.00805,0.91605,0.92773,0.94082,0.66858,1.13936,0.66059,1.18503,0.000101998,0.000101998,0.000101998
61,1616.36,0.89437,0.51121,1.0208,0.87347,0.87097,0.89275,0.63179,1.13762,0.78082,1.17141,9.78662e-05,9.78662e-05,9.78662e-05
62,1642.07,0.91958,0.51888,1.03303,0.8751,0.89248,0.90292,0.6372,1.13281,0.7724,1.17501,9.37763e-05,9.37763e-05,9.37763e-05
63,1667.49,0.88104,0.49339,1.00498,0.91468,0.92636,0.93865,0.66097,1.14546,0.64761,1.18766,8.97324e-05,8.97324e-05,8.97324e-05
64,1692.99,0.88166,0.49153,1.00604,0.90584,0.92451,0.92639,0.65944,1.12888,0.7292,1.18214,8.57385e-05,8.57385e-05,8.57385e-05
65,1718.51,0.90282,0.50409,1.01971,0.89824,0.89831,0.91163,0.64844,1.1449,0.78598,1.17919,8.17985e-05,8.17985e-05,8.17985e-05
66,1744.24,0.90408,0.48631,1.00679,0.88901,0.8992,0.91109,0.64833,1.15922,0.84456,1.18044,7.79164e-05,7.79164e-05,7.79164e-05
67,1769.8,0.9097,0.49947,1.02462,0.89091,0.88461,0.90703,0.64887,1.13066,0.83078,1.16951,7.40959e-05,7.40959e-05,7.40959e-05
68,1795.41,0.84687,0.46661,1.0013,0.86182,0.87442,0.88712,0.63738,1.12841,0.82327,1.16687,7.03408e-05,7.03408e-05,7.03408e-05
69,1821.31,0.86478,0.48913,1.00536,0.8955,0.90489,0.91437,0.65724,1.11861,0.73173,1.16515,6.66549e-05,6.66549e-05,6.66549e-05
70,1846.97,0.87431,0.4725,1.00137,0.8903,0.90227,0.91311,0.65822,1.10643,0.7647,1.1653,6.30417e-05,6.30417e-05,6.30417e-05
71,1872.48,0.88145,0.48087,1.00634,0.87984,0.89104,0.90069,0.64973,1.12157,0.7941,1.1649,5.95049e-05,5.95049e-05,5.95049e-05
72,1898.08,0.86012,0.4638,0.99439,0.89066,0.88722,0.91442,0.66136,1.11714,0.77639,1.16558,5.60479e-05,5.60479e-05,5.60479e-05
73,1923.89,0.83341,0.45004,0.98543,0.90491,0.8896,0.92093,0.66709,1.11697,0.71885,1.16563,5.26741e-05,5.26741e-05,5.26741e-05
74,1949.42,0.83459,0.46139,0.99368,0.88337,0.8925,0.90423,0.65202,1.12469,0.78651,1.17336,4.93869e-05,4.93869e-05,4.93869e-05
75,1974.78,0.85441,0.47911,0.99971,0.86595,0.87193,0.89169,0.64403,1.10912,0.82607,1.1679,4.61895e-05,4.61895e-05,4.61895e-05
76,2000.56,0.85986,0.72332,0.99336,0.86824,0.87496,0.90333,0.65269,1.11644,0.80974,1.16977,4.3085e-05,4.3085e-05,4.3085e-05
77,2026.5,0.83901,0.4605,0.98991,0.88618,0.89451,0.92434,0.66903,1.10687,0.72826,1.16591,4.00766e-05,4.00766e-05,4.00766e-05
78,2052.73,0.8107,0.44509,0.97172,0.90761,0.90895,0.92811,0.67452,1.12237,0.71053,1.1675,3.71672e-05,3.71672e-05,3.71672e-05
79,2083.11,0.81207,0.43578,0.97922,0.88876,0.89827,0.91697,0.66084,1.13286,0.7543,1.17602,3.43597e-05,3.43597e-05,3.43597e-05
80,2108.55,0.83476,0.45949,0.98839,0.89118,0.89472,0.91232,0.66081,1.11651,0.74886,1.16604,3.16568e-05,3.16568e-05,3.16568e-05
81,2134.14,0.80562,0.4386,0.97726,0.89044,0.89754,0.91174,0.66099,1.10845,0.7345,1.16651,2.90612e-05,2.90612e-05,2.90612e-05
82,2159.73,0.80374,0.44104,0.97498,0.88642,0.88534,0.91422,0.66522,1.11292,0.73554,1.16909,2.65754e-05,2.65754e-05,2.65754e-05
83,2185.38,0.79767,0.45187,0.98126,0.88925,0.89585,0.91912,0.66458,1.13102,0.6971,1.17857,2.4202e-05,2.4202e-05,2.4202e-05
84,2210.95,0.84342,0.48156,0.99595,0.89225,0.90048,0.92119,0.66973,1.11774,0.69049,1.17555,2.19433e-05,2.19433e-05,2.19433e-05
85,2236.57,0.79296,0.44371,0.97872,0.88907,0.9037,0.92351,0.67182,1.11108,0.67078,1.17168,1.98014e-05,1.98014e-05,1.98014e-05
86,2262.11,0.79893,0.42944,0.96653,0.89101,0.89562,0.92031,0.66914,1.10874,0.67175,1.17135,1.77786e-05,1.77786e-05,1.77786e-05
87,2287.5,0.7877,0.42623,0.96723,0.87715,0.89552,0.91379,0.66532,1.10974,0.71108,1.17166,1.58767e-05,1.58767e-05,1.58767e-05
88,2313.17,0.78346,0.4697,0.97611,0.87253,0.89462,0.91123,0.66624,1.10883,0.72065,1.17018,1.40978e-05,1.40978e-05,1.40978e-05
89,2338.96,0.80987,0.45272,0.97908,0.88875,0.87446,0.90813,0.66382,1.11414,0.74428,1.17374,1.24435e-05,1.24435e-05,1.24435e-05
90,2364.74,0.79181,0.46555,0.98109,0.88808,0.8733,0.90868,0.66474,1.10828,0.73971,1.1696,1.09154e-05,1.09154e-05,1.09154e-05
91,2391.23,0.75322,0.36942,0.96824,0.8781,0.87794,0.90497,0.65892,1.11764,0.74218,1.17889,9.51511e-06,9.51511e-06,9.51511e-06
92,2416.32,0.74409,0.37018,0.96683,0.87218,0.88985,0.90837,0.65957,1.12396,0.72705,1.18395,8.24399e-06,8.24399e-06,8.24399e-06
93,2441.54,0.75375,0.36971,0.96997,0.8812,0.8917,0.91413,0.66446,1.11617,0.70315,1.18423,7.10327e-06,7.10327e-06,7.10327e-06
94,2466.62,0.76097,0.36373,0.96741,0.88208,0.89612,0.918,0.66842,1.12098,0.69337,1.18326,6.09409e-06,6.09409e-06,6.09409e-06
95,2491.78,0.7591,0.37673,0.9669,0.88512,0.89427,0.9183,0.66751,1.12447,0.69535,1.18371,5.21745e-06,5.21745e-06,5.21745e-06
96,2516.59,0.73598,0.36578,0.95893,0.88465,0.8943,0.91855,0.6695,1.11297,0.68484,1.18077,4.47421e-06,4.47421e-06,4.47421e-06
97,2541.45,0.72246,0.35315,0.9579,0.88663,0.89192,0.91855,0.66896,1.11959,0.68266,1.18405,3.8651e-06,3.8651e-06,3.8651e-06
98,2566.37,0.71913,0.35663,0.9533,0.89041,0.89078,0.92088,0.67072,1.11722,0.67511,1.18197,3.39072e-06,3.39072e-06,3.39072e-06
